Family,Genus,Species
Labridae,Cymolutes,torquatus
Acanthuridae,Ctenochaetus,striatus
Acanthuridae,Ctenochaetus,cyanocheilus
Acanthuridae,Ctenochaetus,strigosus
Acanthuridae,Ctenochaetus,striatus
Serranidae,Cromileptes,altivelis
Mugilidae,Crenimugil,crenilabis
Labridae,Coris,bulbifrons
Labridae,Coris,bulbifrons
Labridae,Coris,gaimard
Labridae,Coris,aygula
Labridae,Coris,aygula
Labridae,Coris,auricularis
Labridae,Coris,auricularis
Labridae,Coris,dorsomacula
Labridae,Coris,dorsomacula
Labridae,Coris,batuensis
Labridae,Coris,pictoides
Labridae,Coris,centralis
Labridae,Coris,centralis
Labridae,Coris,aurilineata
Labridae,Coris,aurilineata
Labridae,Coris,caudimacula
Labridae,Coris,africana
Labridae,Coris,frerei
Labridae,Coris,frerei
Labridae,Coris,venusta
Labridae,Coris,ballieui
Labridae,Coris,ballieui
Labridae,Coris,flavovittata
Labridae,Coris,flavovittata
Labridae,Conniella,apterygia
Cirrhitidae,Cirrhitus,pinnulatus
Cirrhitidae,Cirrhitops,fasciatus
Cirrhitidae,Cirrhitichthys,aureus
Cirrhitidae,Cirrhitichthys,aprinus
Cirrhitidae,Cirrhitichthys,falco
Cirrhitidae,Cirrhitichthys,oxycephalus
Labridae,Cirrhilabrus,cyanopleura
Labridae,Cirrhilabrus,cyanopleura
Labridae,Cirrhilabrus,katherinae
Labridae,Cirrhilabrus,katherinae
Labridae,Cirrhilabrus,joanallenae
Labridae,Cirrhilabrus,joanallenae
Labridae,Cirrhilabrus,condei
Labridae,Cirrhilabrus,condei
Labridae,Cirrhilabrus,filamentosus
Labridae,Cirrhilabrus,filamentosus
Labridae,Cirrhilabrus,tonozukai
Labridae,Cirrhilabrus,tonozukai
Labridae,Cirrhilabrus,luteovittatus
Labridae,Cirrhilabrus,luteovittatus
Labridae,Cirrhilabrus,sp
Labridae,Cirrhilabrus,walshi
Labridae,Cirrhilabrus,rubripinnis
Labridae,Cirrhilabrus,rubripinnis
Labridae,Cirrhilabrus,laboutei
Labridae,Cirrhilabrus,laboutei
Labridae,Cirrhilabrus,rubrimarginatus
Labridae,Cirrhilabrus,rubrimarginatus
Labridae,Cirrhilabrus,flavidorsalis
Labridae,Cirrhilabrus,flavidorsalis
Labridae,Cirrhilabrus,exquisitus
Labridae,Cirrhilabrus,exquisitus
Labridae,Cirrhilabrus,lubbocki
Labridae,Cirrhilabrus,lubbocki
Labridae,Cirrhilabrus,punctatus
Labridae,Cirrhilabrus,punctatus
Labridae,Cirrhilabrus,scottorum
Labridae,Cirrhilabrus,scottorum
Labridae,Cirrhilabrus,temminckii
Labridae,Cirrhilabrus,temminckii
Labridae,Cirrhilabrus,walindi
Labridae,Cirrhilabrus,walindi
Labridae,Cirrhilabrus,morrisoni
Labridae,Cirrhilabrus,morrisoni
Labridae,Cirrhilabrus,aurantidorsalis
Labridae,Cirrhilabrus,aurantidorsalis
Labridae,Cirrhilabrus,solorensis
Labridae,Cirrhilabrus,solorensis
Labridae,Cirrhilabrus,lineatus
Labridae,Cirrhilabrus,lineatus
Labridae,Cirrhilabrus,rhomboidalis
Labridae,Cirrhilabrus,rhomboidalis
Labridae,Cirrhilabrus,randalli
Labridae,Cirrhilabrus,blatteus
Labridae,Cirrhilabrus,blatteus
Labridae,Cirrhilabrus,balteatus
Labridae,Cirrhilabrus,balteatus
Labridae,Cirrhilabrus,johnsoni
Labridae,Cirrhilabrus,jordani
Labridae,Cirrhilabrus,jordani
Labridae,Cirrhilabrus,rubriventralis
Labridae,Cirrhilabrus,rubriventralis
Pomacentridae,Chrysiptera,brownriggii
Pomacentridae,Chrysiptera,unimaculata
Pomacentridae,Chrysiptera,caeruleolineata
Pomacentridae,Chrysiptera,rollandi
Pomacentridae,Chrysiptera,rex
Pomacentridae,Chrysiptera,talboti
Pomacentridae,Chrysiptera,bleekeri
Pomacentridae,Chrysiptera,flavipinnis
Pomacentridae,Chrysiptera,starcki
Pomacentridae,Chrysiptera,taupou
Pomacentridae,Chrysiptera,parasema
Pomacentridae,Chrysiptera,hemicyanea
Pomacentridae,Chrysiptera,cyanea
Pomacentridae,Chrysiptera,traceyi
Pomacentridae,Chrysiptera,springeri
Pomacentridae,Chrysiptera,cymalitis
Pomacentridae,Chrysiptera,sinclairi
Pomacentridae,Chrysiptera,glauca
Pomacentridae,Chrysiptera,oxycephala
Pomacentridae,Chrysiptera,biocellata
Pomacentridae,Chrysiptera,kuiteri
Pomacentridae,Chrysiptera,tricinctata
Pomacentridae,Chromis,agilis
Pomacentridae,Chromis,flavomaculata
Pomacentridae,Chromis,westaustralis
Pomacentridae,Chromis,notata
Pomacentridae,Chromis,jubauna
Pomacentridae,Chromis,alpha
Pomacentridae,Chromis,albomaculata
Pomacentridae,Chromis,scotochiloptera
Pomacentridae,Chromis,amboinensis
Pomacentridae,Chromis,ternatensis
Pomacentridae,Chromis,fumea
Pomacentridae,Chromis,viridis
Pomacentridae,Chromis,atripectoralis
Pomacentridae,Chromis,xanthochira
Pomacentridae,Chromis,atripes
Pomacentridae,Chromis,flavipectoralis
Pomacentridae,Chromis,ovatiformes
Pomacentridae,Chromis,iomelas
Pomacentridae,Chromis,dimidiata
Pomacentridae,Chromis,caudalis
Pomacentridae,Chromis,chrysura
Pomacentridae,Chromis,margaratifer
Pomacentridae,Chromis,acares
Pomacentridae,Chromis,xanthura
Pomacentridae,Chromis,delta
Pomacentridae,Chromis,leucura
Pomacentridae,Chromis,elerae
Pomacentridae,Chromis,cinerascens
Pomacentridae,Chromis,lepidolepis
Pomacentridae,Chromis,lineata
Pomacentridae,Chromis,vanderbilti
Pomacentridae,Chromis,analis
Pomacentridae,Chromis,opercularis
Pomacentridae,Chromis,weberi
Pomacentridae,Chromis,nitida
Pomacentridae,Chromis,retrofasciata
Labridae,Choerodon,fasciatus
Labridae,Choerodon,graphicus
Labridae,Choerodon,cyanodus
Labridae,Choerodon,rubescens
Labridae,Choerodon,schoenleinii
Labridae,Choerodon,jordani
Labridae,Choerodon,zosterophorus
Labridae,Choerodon,anchorago
Labridae,Choerodon,monostigma
Labridae,Choerodon,oligacanthus
Labridae,Choerodon,vitta
Labridae,Choerodon,cephalotes
Labridae,Choerodon,venustus
Labridae,Choerodon,zamboangae
Scaridae,Chlorurus,bleekeri
Scaridae,Chlorurus,bleekeri
Scaridae,Chlorurus,troschelii
Scaridae,Chlorurus,troschelii
Scaridae,Chlorurus,capistratoides
Scaridae,Chlorurus,capistratoides
Scaridae,Chlorurus,sordidus
Scaridae,Chlorurus,sordidus
Scaridae,Chlorurus,bowersi
Scaridae,Chlorurus,bowersi
Scaridae,Chlorurus,microrhinos
Scaridae,Chlorurus,strongycephalus
Scaridae,Chlorurus,strongycephalus
Scaridae,Chlorurus,japanensis
Scaridae,Chlorurus,japanensis
Scaridae,Chlorurus,frontalis
Scaridae,Chlorurus,frontalis
Scaridae,Chlorurus,cyanescens
Scaridae,Chlorurus,atrilunula
Scaridae,Chlorurus,enneacanthus
Scaridae,Chlorurus,perspicillatus
Scaridae,Chlorurus,perspicillatus
Scaridae,Chlorurus,oedema
Scaridae,Chlorurus,genazonatus
Scaridae,Chlorurus,genazonatus
Pomacentridae,Cheiloprion,labiatus
Labridae,Cheilio,inermis
Labridae,Cheilio,inermis
Labridae,Cheilinus,trilobatus
Labridae,Cheilinus,trilobatus
Labridae,Cheilinus,chlorourus
Labridae,Cheilinus,fasciatus
Labridae,Cheilinus,abudjubbe
Labridae,Cheilinus,undulatus
Labridae,Cheilinus,undulatus
Labridae,Cheilinus,oxycephalus
Labridae,Cheilinus,lunulatus
Labridae,Cheilinus,indulatus
Carangidae,Chanos,chanos
Pomacanthidae,Chaetodontoplus,poliourus
Pomacanthidae,Chaetodontoplus,mesoleucus
Chaetodontidae,Chaetodon,capistratus
Chaetodontidae,Chaetodon,decussatus
Chaetodontidae,Chaetodon,falcula
Chaetodontidae,Chaetodon,auriga
Chaetodontidae,Chaetodon,meyeri
Chaetodontidae,Chaetodon,lunulatus
Chaetodontidae,Chaetodon,triangulum
Chaetodontidae,Chaetodon,andamanensis
Chaetodontidae,Chaetodon,baronessa
Chaetodontidae,Chaetodon,trifacialis
Chaetodontidae,Chaetodon,octofasciatus
Chaetodontidae,Chaetodon,oxycephalus
Chaetodontidae,Chaetodon,trifasciatus
Scaridae,Cetoscarus,bicolor
Scaridae,Cetoscarus,ocellatus
Serranidae,Cephalopholis,argus
Serranidae,Cephalopholis,cyanostigma
Serranidae,Cephalopholis,formosa
Serranidae,Cephalopholis,polleni
Serranidae,Cephalopholis,boenak
Serranidae,Cephalopholis,leopardus
Serranidae,Cephalopholis,urodeta
Serranidae,Cephalopholis,spiloparaea
Serranidae,Cephalopholis,miniata
Serranidae,Cephalopholis,sexmaculata
Serranidae,Cephalopholis,sonnerati
Serranidae,Cephalopholis,microprion
Serranidae,Cephalopholis,oligosticta
Serranidae,Cephalopholis,hemistiktos
Serranidae,Cephalopholis,aurantia
Serranidae,Cephalopholis,polyspila
Serranidae,Cephalopholis,nigripinnis
Pomacanthidae,Centropyge,eibli
Pomacanthidae,Centropyge,multispinis
Pomacanthidae,Centropyge,nox
Centrogeniidae,Centrogenys,vaigiensis
Carangidae,Caranx,lugubris
Carangidae,Caranx,melampygus
Carangidae,Caranx,papuensis
Carangidae,Caranx,sexfasciatus
Carangidae,Caranx,ignobilis
Carangidae,Caranx,tille
Carangidae,Carangoides ,fulvoguttatus
Carangidae,Carangoides ,gymnostethus
Carangidae,Carangoides ,plagiotaenia
Carangidae,Carangoides ,bajad
Carangidae,Carangoides ,oblongus
Carangidae,Carangoides ,orthogrammus
Carangidae,Carangoides ,ferdau
Carangidae,Carangoides ,chrysophrys
Carangidae,Carangoides ,dinema
Scaridae,Calotomus,spinidens
Scaridae,Calotomus,spinidens
Scaridae,Calotomus,carolinus
Scaridae,Calotomus,carolinus
Scaridae,Calotomus,viridescens
Scaridae,Calotomus,viridescens
Scaridae,Calotomus,zonarchus
Scaridae,Calotomus,zonarchus
Scaridae,Calotomus,japonicus
Caesionidae,Caesio,cuning
Caesionidae,Caesio,teres
Caesionidae,Caesio,xanthonota
Caesionidae,Caesio,lunaris
Caesionidae,Caesio,varilineata
Caesionidae,Caesio,caerulaurea
Caesionidae,Caesio,suevica
Caesionidae,Caesio,striata
Scaridae,Bulbometopon,muricatum
Scaridae,Bulbometopon,muricatum
Labridae,Bodianus,axillaris
Labridae,Bodianus,mesothorax
Labridae,Bodianus,bilunulatus
Labridae,Bodianus,bilunulatus
Labridae,Bodianus,diana
Labridae,Bodianus,anthioides
Labridae,Bodianus,bimaculatus
Labridae,Bodianus,perditio
Labridae,Bodianus,opercularis
Labridae,Bodianus,vulpinus
Labridae,Bodianus,macrourus
Labridae,Bodianus,neilli
Labridae,Bodianus,loxozonus
Labridae,Bodianus,prognathus
Serranidae,Belonoperca,chabanaudi
Balistidae,Balistapus,undulatus
Pomacentridae,Azurina,cyanea
Atherinidae,Atherinomorus,lacunosus
Atherinidae,Atherinomorus,endrachtensis
Lutjanidae,Aprion,virescens
Lutjanidae,Aphareus,furca
Serranidae,Anyperodon,leucogrammicus
Labridae,Anampses,melanurus
Labridae,Anampses,melanurus
Labridae,Anampses,lineatus
Labridae,Anampses,lineatus
Labridae,Anampses,meleagrides
Labridae,Anampses,meleagrides
Labridae,Anampses,femininus
Labridae,Anampses,femininus
Labridae,Anampses,caeruleopunctatus
Labridae,Anampses,caeruleopunctatus
Labridae,Anampses,twistii
Labridae,Anampses,twistii
Labridae,Anampses,lennardi
Labridae,Anampses,lennardi
Labridae,Anampses,elegans
Labridae,Anampses,elegans
Labridae,Anampses,neoguinaicus
Labridae,Anampses,neoguinaicus
Labridae,Anampses,geographicus
Labridae,Anampses,geographicus
Labridae,Anampses,cuvier
Labridae,Anampses,cuvier
Labridae,Anampses,chrysocephalus
Labridae,Anampses,chrysocephalus
Pomacentridae,Amphiprion,percula
Pomacentridae,Amphiprion,ocellaris
Pomacentridae,Amphiprion,ephippium
Pomacentridae,Amphiprion,melanopus
Pomacentridae,Amphiprion,rubrocinctus
Pomacentridae,Amphiprion,akallopsis
Pomacentridae,Amphiprion,sandaracinos
Pomacentridae,Amphiprion,perideraion
Pomacentridae,Amphiprion,leucokranos
Pomacentridae,Amphiprion,polymnus
Pomacentridae,Amphiprion,latezonatus
Pomacentridae,Amphiprion,chrysopterus
Pomacentridae,Amphiprion,tricinctus
Pomacentridae,Amphiprion,clarkii
Pomacentridae,Amphiprion,frenatus
Pomacentridae,Amphiprion,mccullochi
Pomacentridae,Amphiprion,akindynos
Pomacentridae,Amphiprion,sebae
Pomacentridae,Amblygliphidodon,silolona
Pomacentridae,Amblygliphidodon,aureus
Pomacentridae,Amblygliphidodon,batunaorum
Cirrhitidae,Amblycirrhites,bimacula
Carangidae,Alectis ,ciliaris
Carangidae,Alectis ,indicus
Serranidae,Aethaloperca,rogaa
Acanthuridae,Acanthurus,triostegus 
Acanthuridae,Acanthurus,polyzona
Acanthuridae,Acanthurus,albipectoralis
Acanthuridae,Acanthurus,blochii
Acanthuridae,Acanthurus,leucosternon 
Acanthuridae,Acanthurus,nigricans 
Acanthuridae,Acanthurus,achilles
Acanthuridae,Acanthurus,japonicus
Acanthuridae,Acanthurus,lineatus
Acanthuridae,Acanthurus,sohal
Acanthuridae,Acanthurus,dussumieri
Acanthuridae,Acanthurus,xanthopterus
Acanthuridae,Acanthurus,leucopareius
Acanthuridae,Acanthurus,tristis
Acanthuridae,Acanthurus,pyroferus
Acanthuridae,Acanthurus,thompsoni
Acanthuridae,Acanthurus,nigrofuscus
Acanthuridae,Acanthurus,nigricauda
Acanthuridae,Acanthurus,auranticavus
Sparidae,Acanthopagrus,berda
Sparidae,Acanthopagrus,bifasciatus
Scombridae,Acanthocybium,solandri
Pomacentridae,Acanthochromis,polyacanthus
Pomacentridae,Abudefduf,bengalensis
Pomacentridae,Abudefduf,lorenzi
Pomacentridae,Abudefduf,sexfasciatus
Pomacentridae,Abudefduf,notatus
Pomacentridae,Abudefduf,septemfasciatus
Pomacentridae,Abudefduf,sordidus
Pomacentridae,Abudefduf,vaigiensis
Pomacentridae,Abudefduf,whitleyi
Pomacentridae,Abudefduf,natalensis
Pomacentridae,Abudefduf,margariteus
Pomacentridae,Abudefduf,sparoides
Balistidae,Balistoides,viridescens
Muraenidae,Gymnothorax,flavimarginatus
Fistulariidae,Fistularia,commersonii
Balistidae,Odonus,niger
Echeneidae,Remora,remora
Carangidae,Atule,mate
Aetobatidae,Aetobatus,narinari
Aetobatidae,Aetobatus,ocellatus
Muraenidae,Gymnothorax,javanicus
Dasyatidae,Urogymnus,granulatus
Carcharhinidae,Carcharhinus,melanopterus
Scorpaenidae,Pterois,volitans
